"","job_title","company_name","job_location","job_description"
"1","Equipment Sales Engineer","Ingersoll Rand","United States","United StatesAt Ingersoll Rand we are passionate about inspiring progress around the world. We advance the quality of life by creating comfortable, sustainable and efficient environments. Our people and our family of brands-includingClub Car®, Ingersoll Rand®,Thermo King®, Trane®, American Standard® Heating & Air Conditioning and ARO® - work together to enhance the quality and comfort of air in homes and buildings; transport and protect food and perishables; and increase industrial productivity and efficiency. We are a global business committed to a world of sustainable progress and enduring results. For more information, visitwww.ingersollrand.com.
Ingersoll Rand is a diverse and inclusive environment. We are an equal opportunity employer, dedicated to hiring a diverse workforce; including individuals with disabilities and United States qualified protected veterans.Job Summary:

The main idea of the role is to hold overall responsibility for commercial/equipment sales and customer development in Croatia, by providing customer value through technical and commercial expertise and collaborating.
Key Responsibilities:

Encourage customer growth and loyalty through continuous support and customer assistance
Develop and strengthen relationships with customers through regular customer visits
Day to day selling activities i.e. identifying sales opportunities, qualifying them, preparing proposals with the help of the Quotation Engineer and presenting them to the customers, following up on them, negotiating price levels and terms and conditions within the company guidelines and assigned limits, acquiring orders
Develop the best total solution to the customer, collaborating with other departments where necessary
In close collaboration with other departments and employees to continuously grow the level of customer satisfaction in the assigned territory, by ensuring overall superb customer experience
Develop and implement business and account sales
Constantly monitor market trends and benchmark against competitors in the assigned territory, feed this information back to the managementQualifications:

Education: Technical Degree Mechanical or Electrical Engineering
Experience: Proven experience in the area of sales, preferably in HVAC equipment area
Language: English and Croatian at least on communicative level a must; any other European language is a value
Skills: computer skills capability of using MS Office and internal company systems
Soft skills: communicative, open-minded; driven for success, ready to negotiate with the customers; good at building long-term relationships with the cooperatesLevel of traveling: 80%
We are committed to helping you reach your professional, personal and financial goals. We offer competitive compensation that aligns with our business strategies and comprehensive benefits to help you live your healthiest. We are committed to building an inclusive and diverse culture that engages as well as values the different backgrounds and experiences of our employee, which, in turn, spurs innovation, generates creative solutions and enhances our customer relations.
If you share our passion for inspiring progress-for bringing about bold shifts in how people, economies and societies operate-then you belong with Ingersoll Rand. Progress begins with you."
"2","Inside Sales Engineer","Carrier Enterprise, LLC","New York, NY","New York, NYCarrier Enterprise is a joint venture between Watsco, Inc. and Carrier Corporation. Carrier Enterprise sells and distributes, Carrier, Bryant and Payne residential and light commercial Heating, Ventilation and Air Conditioning (HVAC) products, parts and supplies throughout the United States, Latin America and Caribbean utilizing 110 locations in 20 states and Puerto Rico. We currently have an exciting opportunity for an Inside Sales Engineer at our Manhattan location.
Inside Sales Engineer – New Mechanical Engineer Graduate or Engineer with experience
As an ISE, you will support the Commercial business by providing technical support to our customers. This includes, but is not limited to, plans and specification takeoffs and quotations, responding to customer purchase orders by checking inventory and placing orders with our order department, preparation of submittals for submission to the installing HVAC contractor, product application support for our commercial customers and responding to customer inquiries. The ISE is the primary backup for the Residential Account Managers and plays an integral role in increasing volume with their existing accounts. You will also be the primary point of contact for all our commercial ancillary products. The ISE will be the product expert in these products and will be responsible for all quotations and submittals to our commercial Sales Engineers and residential Account Managers. The role provides immediate and invaluable experience as the ISE is an integral part of the sales team. The work environment is fast paced and hands on, requiring the ISE to multitask several projects at once.
marketing, specification, selection and sales. Support the Outside Sales organization by providing technical support and application information. Seek new business opportunities by responding to new customers’ inquiries and the marketing of new products and services.
Your Qualifications:
Recent college graduate with a degree in mechanical engineering, Interest in technical sales and marketing,
Or Engineering graduate with 3-5 years experience
Excellent interpersonal and communication skills,
Prior experience in the HVAC Industry is a plus but not required.

There is no relocation offered for this position
Carrier Enterprise is an Equal Opportunity Employer
Reasons to join our team at Carrier Enterprise! Advancement Opportunities
Paid sick, personal, vacation and holiday
Health/Dental/Vision insurance
Health Savings Account
Short Term Disability
Long Term Disability option
Stock Purchase Plan
401K"
"3","Industrial HVAC Sales Engineer","Way Service","Houston, TX","Houston, TX7+ years experienceIndustrial HVAC Sales Engineer

This position will report to the Vice President of Technical Sales. The primary objective of this role is to identify and develop technical facility/equipment solutions for industrial clients, primarily involved in petrochemical and chemical markets. In addition, this person will manage successful customer accounts during and after the implementation phase of projects and other service related work.

Responsibilities/Duties:
The role will include the management of a sound business plan for accounts within the designated sales region.
This role is a technical HVAC engineering/sales position, requiring the candidate to have a high technical aptitude regarding the industrial HVACR markets.
Candidate must have ability to conduct thorough questioning sessions with clients/prospects, perform in-depth technical analysis of mechanical systems and develop sound solutions that solve complex technical facility and process issues.
Candidate will have primary responsibility for the design and estimating functions of the solution-oriented process.
Must be able to apply market and account skills necessary for dealing with specific target audiences.
This individual will assist in sales presentations to customers for the delivery of technical solutions at facilities within the designated markets.
The role will also include the completion of weekly, or more frequent as deemed necessary by management, production reports utilizing Way Documentation.
In addition to assisting the generating of new business, this position will also be responsible for ensuring excellent customer service and account management providing pre and post-sales and engineering support.
This position will also support the marketing sales activity by staffing key industry events in the area.
Skills/Competencies:
Strong experience with industrial HVACR design, troubleshooting and solutions development.
Experience in selling HVAC Business to Business with the C & D levels is preferred.
Strong HVAC technical and refrigeration process aptitude.
Understanding of airside and hydronic systems.
Experience with and knowledge of building automation systems and other low voltage building systems.
Ability to access, work in and develop HVACR solutions for the industrial/petrochemical markets is a plus.
General understanding of building design and construction.
Ability to perform conceptual technical design and estimating.
Understanding of “behind the gates” operational and process activities.
Strong detail and organizational skills.
Ability to deal and interact with executive level decision makers.
Must be self directed and able to learn business and new products quickly.
Ability to work and contribute as an effective team player in a fast-paced sales and engineering environment.
Must have proven product and customer knowledge to educate customers on pricing and the application of competitive advantages to meet or exceed customer needs.
Excellent database, spreadsheet, word processing, and presentation skills.
Excellent communication skills, both written and verbal.
Motivated team player
Degree/Experience:
7+ years of proven successful HVAC/technical design and estimating experience.
Undergraduate degree in engineering or technical curriculum highly preferred. ME, EE, PE or CEM desired.
Current TWIC and HACSC safety compliance certificates are preferred."
"4","CTS Field Sales Engineer","Quincy Compressor LLC","Sharon Hill, PA","Sharon Hill, PA2+ years experienceQuincy Compressor, LLC makes and sells the highest quality reciprocating and rotary screw air compressors, vacuum pumps and a full line of air treatment components. Our products are used around the world in manufacturing plants, hospitals, climate control systems and any application that requires reliable air assistance. If you're as tough, dependable and efficient as the compressors we make, then you're the right fit for Quincy Compressor. We are currently seeking a CTS Sales Engineer to join our team in Pennsylvania.
Basic Function:
At the direction of the Sales Manager, the Sales Engineer, Service will exercise primary control over all customer-related activities and problems within the assigned area. The Sales Engineer, Service will work with the Sales Manager and other factory-functional areas to complete assigned sales and marketing goals.
Nature & Scope:
The primary responsibility of the Sales Engineer, Service is to manage the direct selling activities of Quincy Service Products and define accounts located in the assigned geographical territory. The Sales Engineer, Service is to perform all assigned tasks to assure that individual and company goals are achieved in respect to maximum sales volume and profitability.
Principle Duties:
Prospecting new and drifted accounts to generate revenue
Design and engineer compressed air service solutions
Develop relationships with key accounts in assigned territory
Track customer calls and provide reports accordingly using Salesforce tool
Effectively manage quote log and follow up as needed
Work with local utility company to process rebates for energy savings
Increase rapport with customer via effective troubleshooting of service needs
Develop understanding of competitive landscape in compressor market
Stay current with developments in all Quincy products and offerings
Provide training to customers and sub-distribution
Achieve Business Plan sales goals in Quincy Business categories including small and large rotaries, reciprocating compressors, accessories and aftermarket servicesEducation and Experience:
Bachelor Degree in Engineering preferred; degree in Business, Marketing or Management considered with supplemental technical training or experience
2 - 5 years Compressor Industry experience preferred
Extremely proficient in Excel, Salesforce (CRM), and database managementJob Knowledge, Skills, and Abilities:
General knowledge of industrial products including compressed air products and markets, including but not limited to air compressors, vacuum pumps and air treatment
Ability to create and manage marketing plans and strategies
Exceptional communication skills, self-motivated, self-starter
Must be able to meet customer-specific requirements for site access.
Training Requirements:
General Safety TrainingPhysical Demands:
Required to be able to move about the facility (standing, walking) and customer sites, varying by location.Personal Protective Equipment:
While in warehouse or workshop area, must wear safety glasses and steel toed shoes at all times. Must comply with all Company PPE policies as directed.
While at customer locations, must comply with Company PPE policies as a minimum, and customer PPE policies as directed.Work Environment:
Mainly a field environment, with significant exposure to customers’ varying manufacturing environments.MAY BE REQUIRED TO PERFORM OTHER DUTIES AS REQUESTED, DIRECTED, OR ASSIGNED.

Quincy Compressor is an equal opportunity employer and does not discriminate in hiring or employment related decisions because of race, color, religion, creed, national origin or ancestry, ethnicity, sex, gender (including gender nonconformity and status as a transgender or transsexual individual), sexual orientation, gender identity, age, physical or mental disability, citizenship, past, current or prospective service in the uniformed services, genetic information, or any other characteristic protected under applicable federal, state or local law. Job promotions at Quincy Compressor will be based on such factors as quality of work, prior job performance, attendance, safety record, and ability to work well with others.
Accessibility Notice: If you need a reasonable accommodation for any part of the employment process due to a physical or mental disability, please send an email to: careers@quincycompressor.com or call 251.937.5900. Reasonable accommodation requests will be considered on a case-by-case basis"
"5","Sales Engineer - Cirium - Portland","Reed Business Information","United States","United States1+ years experienceSales Engineer - Cirium - Remote (United States)
Cirium employs a team of over 400 technologists, analysts, data scientists and market experts in the UK, US, Europe, Middle East, India and Asia-Pacific. In 1909 we were the first to record the earliest days of flight and now in 2019, as Cirium, we are uniquely positioned to reshape the wider travel industry with smart data and advanced analytics solutions. Our people are at the centre of who we are. Whatever your background you are welcome. We are looking for talented and dynamic team players who focus on delivering successful outcomes.
We are a business where three out of our seven leaders are women, over 20 languages are spoken, where some leaders have grey hair and some have purple. Where our sales teams take time out to support local schools and our product teams champion local women back into the workplace. We are a flexible employer and happy to accommodate different working solutions for the right talent.
Cirium analyzes the huge volume of data generated from the millions of flights a year to help keep the travel industry in motion:Over 36 million passenger itineraries are processed each year to alert corporate travel companies, travel agencies and airlines, so that travelers stay up-to-date with flight status and airlines minimize disruption
Over US$300 billion worth of airline tickets are analyzed for market insights
Over 35 million airline flights are tracked per month covering over 97% of scheduled flights worldwide and more than 90% of commercial aircraft in service so that engine OEMs can keep track of the per hour use of their engines
US$5.3 trillion worth of aircraft assets are valued by Cirium each year, as part of strategy and pricing partnerships with the world’s top 50 lessors and tier one investment banks
Cirium has 11 offices in the UK, North America, Singapore, China, Japan and Hong Kong and we celebrate our global diversity through events and networks throughout the yearCirium is part of RBI, which is part of RELX, a FTSE 100 traded company (which was just named by Forbes as one of the world’s most innovative companies)
Our benefits stand out (they even include two days a year for you to dedicate to the charitable activity of your choice)Cirium and RBI are founding members of the Tech Talent Charter, committed to increasing the ratio of women and under-represented groups working in technologyJob Purpose:We are seeking a Subject Matter Expert (SME) for a very successful business development team focused on serving airlines and those within their ecosystem (e.g. airports, online/corporate travel agencies). Your primary responsibilities will be to:a) Work closely with customers and targets to help them solve their problems via better use of Cirium products and services;
b) Be a critical conduit between Cirium clients/targets and Cirium’s Sales, Marketing and Product Development teams to help all parties better understand the commercial airline industry and the data, tools and methods to solve industry problems.Travel may be up to 30% of Cirium’s time in order to provide in person support field sales initiatives regionally and on occasion, globally.The ideal candidate must be have strong interpersonal skills as well as be organized, meticulous, creative, and bring a desire to tackle challenges as an opportunity to develop new skills and contribute to company objectives and growth. This position is based in the Portland, Oregon and will report to the Director of Sales Engineering.Key Accountabilities/Responsibilities: Educate current and potential clients on the benefits of Cirium data and solutions as they relate to the commercial airline sector. Demonstrate how Cirium tools and data help solve users’ Commercial Planning problems.
 Work closely and collaboratively with Product Managers to create and maintain sales collateral (e.g. presentations, proposals, sell sheets, email campaigns, trade show positioning, etc.). Assist sales calls remotely or in-person to help qualify opportunities and deliver product demonstrations and presentations. Summarize customer’s technical perspective to assist Sales, Marketing and Tech better understand users’ perspectives and what they hope to achieve.
 Help qualify and prioritize what customer problems Cirium can hope to solve from a technical point of view and the commercial opportunity in solving them Understand customer requirements and map them out against Cirium’s technical capabilities. Assist in production of sales proposals, RFPs and tender documents Train the sales team ongoing in understanding Cirium’s solutions and in delivering excellent product demonstrations. Work with Product Managers to create and maintain sales collateral: slide decks, proposals, PPTs, sell sheets, emails to customer, etc.Key Skills Required: Material desire and ability to assist customers and targets in solving their problems through use of Cirium tools and data. True passion for the airline industry, and particularly its Commercial Planning sector.
 Deep domain knowledge of the airline Commercial Planning segment in roles such as Network Planner (airline), Revenue Management (airline), Air Service Development (airports) or Online Travel Agencies. Strong understanding of Commercial Planning datasets-schedules, capacity, fares/pricing, traffic volumes, fleet, ticket/booking data, QSI, etc. Knowledge of MIDT, DDS, Ascend, Innovata/OAG, FlightStats is strongly preferred.
 Excellent communication and presentation skills, especially in client-facing contexts—must be highly comfortable working with people across several organizations. Ability to convey complex Commercial Planning matters in simple business-friendly terms. Experience in pre-sales or sales role, working collaboratively with Sales Teams,
understanding the full sales life cycle and processes is a plus.
 Must be a highly motivated self-starter, naturally pro-active with great sense of initiative. MS Office expertise, including strong PowerPoint skills are a must. Ability to travel globally, sometimes on relatively short notice. Experience of working with Diio Mi and other Cirium products is highly preferred. Ability to speak multiple languages is desirable.Experience Required:
 4-year degree preferred
About Reed Business Information:
Reed Business Information (RBI) provides information, analytics and data to business professionals worldwide. Our strong global products and services hold market-leading positions across a wide range of industry sectors including banking, petrochemicals and aviation where we help customers make key strategic decisions every day. RBI is part of RELX Group plc, a world-leading provider of information solutions for professional customers across industries.
http://www.reedbusiness.com
RBI General Benefits Package
- 401k match of 5%18 Days HolidayPaid Charity Days – 2 days per yearBenefits start upon hire dateExcellent OTE & Competitive Salaries
RBI is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact jobs@rbi.co.uk . EEO is the Law. EEO is the Law Supplement"
"6","Service Sales Engineer (Air Compressors)","ACF, Inc.","Tampa, FL 33619","Tampa, FL 336193+ years experienceJob Description:Job Summary
The purpose of the Service Sales Engineer (SSE) position is to increase aftermarket parts and service business and to generate new equipment leads within the sales department. The SSE will promote the Company service and parts departments to increase sales in PM agreements, equipment repairs, rental equipment, PackageCare contracts, Lubricant sales, vibration, installations, IR parts, non-OEM parts, VFD upgrades, Controls and generally promote Air Centers of Florida as the primary source for aftermarket parts and service of compressed air equipment and components.
Essential Job Functions
Develop Aftermarket program proposals for the air compressor service department for customers and professionally present proposals to plant engineers, maintenance personnel, purchasing agents, and/or company executives
Research and evaluate customer application in order to properly size and/or develop an aftermarket recommendation that meets the customer’s needs
Conduct air system surveys
Ensure the establishment of industry contacts and develop a list of potential customers
Follow up on sales leads and make cold calls
Maintain updated understanding of industry trends, technical developments, and government regulations that effect target markets
Proactively take action to close sales and finalize contracts
Meet established sales quotas and revenue goals
Resolve customer’s problems with product and/or services
Follow up on product deliveries
Monitor and work within established expense allowance
Generate detailed scope of supply (PMU) and provide to Application Engineer or Service Manager for processing
Develop sales proposals of generator products for customers and professionally present proposals to plant engineers, maintenance personnel, purchasing agents, and/or company executives
Additional Job Functions
Establish and maintain a sub-dealer network within geographic territory, including training the sub-dealer and assisting them with the financial aspect of the business
Collect payment and financial documents from customers
Establish and maintain a teamwork approach in the area of aftermarket products and service departments in order to develop and maintain customer loyalty
Required Experience:Required Knowledge, Skills and Abilities (including physical and work environment)
Well developed sales and presentation skills
Computer literacy is required, including a working knowledge of applications such as Outlook, Word, PowerPoint, and Excel
Basic mechanical and technical aptitude including geometric and other mathematical formulas
Excellent oral and written communication skills
Ability to establish a solid relationship with manufacturer
Proven interpersonal skills with both internal and external customers
Basic marketing knowledge
Ability to handle working in a NON-climate controlled environment for extended periods of time on sales calls
Required to wear proper PPE (personal protective equipment) including steel toed shoes while on sales calls
Must be able to lift up to 20lbs
Must be able to handle high pressure situations and adapt well to changes in market
Prioritize work assignments and have excellent organizational skills and be able to work independently
Minimum Job Qualifications (education, work experience, licenses/certifications)
Associate’s degree or 2 to 5 years of sales experience (industrial sales preferred), or an equivalent combination of education and experience
Keyword:
From: ACF, Inc."
"7","Equipment Sales Engineer","Quincy Compressor LLC","Addison, IL 60101","Addison, IL 601012+ years experienceQuincy Compressor makes and sells the highest quality reciprocating and rotary screw air compressors, vacuum pumps and a full line of air treatment components. Our products are used around the world in manufacturing plants, hospitals, climate control systems and any application that requires reliable air assistance. If you're as tough, dependable and reliable as the compressors we make, then you're the right fit for Quincy Compressor. We are currently seeking a Equipment Sales Engineer to join our team! This position will be based out of Addson, IL.
Your mission as a Sales Engineer is to promote, educate and sales all types of Quincy Compressor Product to the market to increase brand awareness, profitability and market share so Quincy Compressor continues to be a leader in the compressor market. The primary responsibility of the Sales Engineer is to manage the direct selling activities of Quincy products and defined accounts located in an assigned geographical territory, working directly with the Sales Manager and support team to achieve sales and marketing goals
Principle Duties:
Prospecting new and drifted accounts to generate revenue
Assist and recommend compressed air solutions
Develop relationships with key accounts and customers in assigned territory
Track customer calls and provide reports accordingly using CRM tool as directed
Effectively manage quote log and follow up as needed
Audit compressed air systems and present results to customers
Work with local utility company to process rebates for energy savings
Support and grow local sub-distribution
Increase rapport with customer via effective troubleshooting of current system
Develop understanding of competitive landscape in compressor market
Stay current with developments in all Quincy products and offerings
Provide training to customers and sub-distribution
Achieve Business Plan sales goals in Quincy Business categories including small and large rotaries, reciprocating compressors, accessories and aftermarket servicesSkills and experience:
Bachelor’s Degree in engineering preferred; degree in Business, Marketing or Management considered with supplemental technical training or experience
2 - 5 years Compressor Industry experience preferred
Extremely proficient in Excel, CRM, search engines and database management
Are we a good fit? At Quincy Compressor, we are looking to add people who are driven to succeed, passionate about their work and professional development and eager to take care of our customers. If you have these qualities, along with a positive outlook, you just might be the right fit for this position.
Quincy Compressor is an equal opportunity employer and does not discriminate in hiring or employment related decisions because of race, color, religion, creed, national origin or ancestry, ethnicity, sex, gender (including gender nonconformity and status as a transgender or transsexual individual), sexual orientation, gender identity, age, physical or mental disability, citizenship, past, current or prospective service in the uniformed services, genetic information, or any other characteristic protected under applicable federal, state or local law. Job promotions at Quincy Compressor will be based on such factors as quality of work, prior job performance, attendance, safety record, and ability to work well with others.
Accessibility Notice: If you need a reasonable accommodation for any part of the employment process due to a physical or mental disability, please call 251.937.5900. Reasonable accommodation requests will be considered on a case-by-case basis"
"8","Sales Engineer/Outside Sales - Climate Control","Sunbelt Rentals","Oklahoma City, OK 73108","Oklahoma City, OK 73108Join Our Team!
Sunbelt Rentals strives to be the customer's first choice in the equipment rental industry. From pumps to scaffolding to general construction tools, we aim to be the only call needed to outfit a job site with the proper equipment. Not only do we offer a vast fleet that ranks among the best in the industry, we pair it all with a friendly and knowledgeable staff. Our employees are our greatest asset, and although we present a comprehensive equipment offering, our expertise and service are what truly distinguish us from the competition.
We pride ourselves on investing in our workforce and offer competitive benefits, as well as extensive on-the-job training for all eligible employees.
As a highly successful national company, we are constantly looking for talented individuals to support our growth. If you are interested in pursuing a rewarding career, we invite you to review our opportunities!
JOB DESCRIPTION SUMMARY
Would be very helpful to have HVAC backggrond
Gear up for an exciting career!
If a current Sunbelt Rentals employee has referred you for an employment opportunity please notify them that you are applying for this position. In order for the employee to get a referral bonus they need to contact their regional recruiter."
"9","Sales Engineers - Hoffman & Hoffman, Inc.","Hoffman & Hoffman, Inc","Greensboro, NC 27407","Greensboro, NC 27407Branches: Asheville, Charleston, Charlotte, Chattanooga, Chesapeake, Columbia, Greensboro, Greenville, Knoxville, Raleigh, Richmond, Roanoke, Wilmington
Hoffman & Hoffman, Inc. offers sales opportunities, which are challenging and rewarding. Our salespeople provide consulting engineers and contractors the tools to select and apply equipment from the industry’s finest manufacturers of mechanical systems. Successful Hoffman & Hoffman, Inc. salespeople develop relationships and trust with their customers and then retain them by providing superior service.
Salespeople operate out of thirteen (13) branches throughout North Carolina, South Carolina, Virginia and Tennessee. Each sales office is uniquely positioned to service its specific market. Outside salespeople interact directly with our customers while inside sales assistants provide the uninterrupted sales support that our customers deserve.
These positions are based on a corporate sales philosophy of providing each sales person with a diverse group of customers consisting of mechanical and general contractors, mechanical engineers and owners. Our wide offering of equipment and systems insures the proper package is available for specific customers’ needs.
Hoffman & Hoffman’s product lines include industrial heating and air conditioning equipment, airside filtration, laboratory and process air pressurization controls, industrial and commercial energy recovery systems, dehumidification systems, process cooling systems and many air control products.
Our branch sales network offers our salespeople various localities throughout the Carolinas, Virginia and Tennessee in which to live. Hoffman & Hoffman, Inc. offers competitive compensation and benefits including health care, vision, dental, prescription drug coverage, 401K, Flexible Spending Accounts and company stock ownership. We offer long-term stability and growth opportunities to our employees.
No phone calls or drop-ins please.
EEO Employer/Vets/Disabled
To apply for this position and to see all current openings, please click here to complete our Employment Application and upload your resume"
"10","Sales Engineer","Sweetwater Sound","Fort Wayne, IN 46818","Fort Wayne, IN 46818Due to our continued phenomenal growth, we are actively seeking sales professionals to join our industry renowned team of Sales Engineers here at our headquarters in Fort Wayne, Indiana.
WHO TYPICALLY APPLIES FOR THIS JOB?
Recent graduates of a Music Technology, Audio Production or Music Business program- or alumni of these types of programs with several years experience since graduation
People with music industry experience in retail sales or as a manufacturer's rep, or who work in a recording studio or a live music venue, either as an employee or freelancer
Gear Heads: people who love talking about the latest technology with others who share their passion
Musicians: people who love performing or writing music that are now at a point in their life where they seek stability and a career (and are maybe tired of living on a tour bus or the uncertainty of ""gig"" money.)
WHAT DO WE LOOK FOR IN A SALES ENGINEER CANDIDATE?
Smart, empathetic folks with strong people skills
Great verbal and written communication chops
A strong knowledge, and passion for, the gear we sell
Words that describe a successful Sales Engineer: Driven, self motivated, proactive, entrepreneurial, disciplined, organized, servant mentality, patient, passionate
WHAT DOES A SALES ENGINEER DO?
We think of each Sales Engineer as their own store. The mission over time is to ultimately form a long term relationship based on trust, friendship and integrity with somewhere between 3000 to 6000 customers who now become ""your"" customer. Think of it as becoming a dedicated professional adviser who is a true expert in the products we sell through our amazing training program. Other duties include:
Complete our 13 week comprehensive training program for Sales Engineers, Sweetwater University. (find out more here)
Making 80-100 outbound phone calls daily to existing customers, as well as forming relationships with new ones, to assist them in making their musical dreams come true
Answering questions and giving advice on musical instruments and pro audio gear
Educating customers on a wide variety of topics such as guitar tone and amplification, digital audio recording, MIDI and sound synthesis, drums, live sound and countless other topics
Following up on orders or troubleshooting a gear issue in partnership with our Tech Support team to provide outstanding customer service
Designing sound systems or selecting gear for churches, schools, recording studios, live venues and the like
Constantly learning about new products and advising others, be they customers or team mates
Picture living in a community where it's safe to walk down the streets at night, with minimum traffic, clean air, the most affordable housing market of any city in the country, great schools, a thriving music scene, and countless other ""quality of life"" choices. Think about having a career you can grow with and an excellent benefits package, while receiving both the immediate and long-term satisfaction you've always wanted.
We suggest you watch the video conversation with our Sales Engineers, and then fill out our on-line application. You'll then be contacted by one of our Talent Acquisition Specialists.
This could be the career in the music industry you have always dreamed of. Why wait? We'd love to take a look at your application."
